Ordner;ISO_min;ISO_max;ISO_mean;ISO_median;F_min;F_max;F_mean;F_median;Exp_min;Exp_max;Exp_mean;Exp_median
20250221_Mini3Pro_Ahorn;100;150;109.3;100.0;1.7;1.7;1.7;1.7;0.000667;0.01;0.002661;0.002
20250228_Mini3Pro_Ahorn;100;200;113.0;100.0;1.7;1.7;1.7;1.7;0.0005;0.004;0.001673;0.001
20250305_Mini3Pro_Ahorn;100;200;125.1;120.0;1.7;1.7;1.7;1.7;0.00025;0.001379;0.000752;0.000667
20250314_Mini3Pro_Ahorn;100;200;136.4;115.0;1.7;1.7;1.7;1.7;0.0004;0.005;0.001203;0.0008
20250317_Mini3Pro_Ahorn;100;200;115.9;110.0;1.7;1.7;1.7;1.7;0.000156;0.003125;0.00104;0.0005
20250403_Mini3Pro_Ahorn;100;150;113.3;110.0;1.7;1.7;1.7;1.7;0.000125;0.004167;0.000885;0.000667
20250508_Mini3Pro_Ahorn;100;200;130.6;110.0;1.7;1.7;1.7;1.7;0.001379;0.02;0.006167;0.004
