Ordner;ISO_min;ISO_max;ISO_mean;ISO_median;F_min;F_max;F_mean;F_median;Exp_min;Exp_max;Exp_mean;Exp_median
20250221_Mini3Pro_Linde;100;200;121.7;110.0;1.7;1.7;1.7;1.7;0.00025;0.002;0.000902;0.000667
20250228_Mini3Pro_Linde;100;200;139.3;130.0;1.7;1.7;1.7;1.7;0.0002;0.002857;0.001124;0.0008
20250305_Mini3Pro_Linde;100;200;128.7;120.0;1.7;1.7;1.7;1.7;0.0004;0.001563;0.000912;0.0008
20250403_Mini3Pro_Linde;100;200;124.4;110.0;1.7;1.7;1.7;1.7;0.00025;0.0025;0.001148;0.001
20250508_Mini3Pro_Linde;100;200;133.9;110.0;1.7;1.7;1.7;1.7;0.001;0.008;0.003156;0.002857
