Ordner;ISO_min;ISO_max;ISO_mean;ISO_median;F_min;F_max;F_mean;F_median;Exp_min;Exp_max;Exp_mean;Exp_median
20250324_DJIPhantom4ProV2_Kirsche;400;400;400.0;400.0;10.0;10.0;10.0;10.0;0.000625;0.005;0.002093;0.002
20250411_DJIPhantom4ProV2_Kirsche;100;200;174.7;200.0;10.0;10.0;10.0;10.0;0.001562;0.0125;0.005848;0.005
20250423_DJIPhantom4ProV2_Kirsche;200;200;200.0;200.0;10.0;10.0;10.0;10.0;0.002;0.066666;0.014917;0.01
