order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
4	1418	0.0158	0.2106	0.0545	1.126	5.085	26	16.7	51.2
4	1418	0.0239	0.1821	0.0371	0.655	4.985	131.1	95.3	152.5
4	1418	0.0178	0.4945	0.1196	2.342	4.723	145.9	73.2	42.4
4	1418	0.0123	0.0633	0.0198	0.495	4.657	133	-30.5	65.4
4	1418	0.0135	0.1267	0.0367	0.847	4.613	110.6	135.9	49.9
4	1418	0.0155	0.2489	0.0616	1.228	4.565	87.2	28.3	97.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	1418	0.0122	0.0853	0.0268	0.672	4.812	19.3	57.7	65.9
4	1418	0.0158	0.2311	0.0602	1.247	4.751	61.9	-118.2	19.8
3	32	0.0123	0.0351	0.0114	0.296	4.448	65.9	127.5	54.4
3	32	0.021	0.1656	0.0357	0.633	4.504	64.1	-99.2	84.8
0	0	0	0	0	0	0	0	0	0
3	32	0.0168	0.0656	0.0179	0.402	4.622	81.7	89.2	38.9
3	32	0.0133	0.0812	0.023	0.522	4.649	75	136.1	54.6
3	32	0.014	0.0648	0.0187	0.431	4.68	94	147.5	135
3	33	0.0121	0.0275	0.0091	0.238	4.504	80.4	-165.8	113.1
0	0	0	0	0	0	0	0	0	0
4	35	0.0158	0.086	0.0217	0.437	4.695	63.4	10.7	89.7
0	0	0	0	0	0	0	0	0	0
4	35	0.0209	0.0813	0.0156	0.238	4.725	100.3	-125	71.9
0	0	0	0	0	0	0	0	0	0
4	35	0.0217	0.122	0.0225	0.33	4.691	62.2	-167.3	167.2
4	35	0.0127	0.1088	0.0316	0.738	4.662	83.4	-21.1	117.9
4	35	0.0136	0.3832	0.106	2.348	4.706	85.8	118.5	70
4	35	0.0132	0.1044	0.0312	0.745	4.7	66.2	4.9	103.7
4	35	0.0134	0.1315	0.0356	0.782	4.722	125.5	-127.9	75.6
4	35	0.0126	0.0507	0.016	0.4	5.075	78.4	-44.8	82.4
5	1475	0.0145	0.2355	0.0639	1.384	4.728	42.7	-49.9	76
0	0	0	0	0	0	0	0	0	0
5	1475	0.0122	0.0558	0.0169	0.409	5.196	67.6	72.2	92.8
0	0	0	0	0	0	0	0	0	0
5	1475	0.0131	0.0425	0.0133	0.333	5.268	80	-26	51.5
5	1475	0.0127	0.0344	0.0109	0.273	5.252	103.4	-55.5	63.1
5	1475	0.0152	0.1588	0.0448	1.01	5.507	159.3	-39.6	56.6
5	1475	0.0146	0.0634	0.018	0.41	5.517	45	99	75.7
5	1475	0.0113	0.0504	0.0172	0.467	5.525	76.5	123.7	30.8
0	0	0	0	0	0	0	0	0	0
5	1475	0.0202	0.2056	0.0446	0.775	5.108	56.4	39.3	53.4
0	0	0	0	0	0	0	0	0	0
6	1508	0.016	0.0596	0.0173	0.406	5.041	132.8	104	50.2
0	0	0	0	0	0	0	0	0	0
6	1508	0.0111	0.021	0.0076	0.217	5.022	94.7	88.9	73.8
0	0	0	0	0	0	0	0	0	0
4	38	0.0158	0.1684	0.0461	1.012	5.053	64.2	-64	64.7
4	38	0.0175	0.168	0.0409	0.833	5.119	28	173.2	63.4
4	38	0.0117	0.0267	0.0091	0.249	5.201	78.7	-41.1	80.6
4	38	0.015	0.0786	0.024	0.59	5.21	59.8	160.6	66.5
4	38	0.015	0.0709	0.0199	0.446	5.224	57.9	-83.9	92.1
4	38	0.0138	0.0597	0.0174	0.407	5.336	40	-107.3	80.3
4	38	0.0127	0.1211	0.0327	0.71	5.299	43.7	170.5	39.9
0	0	0	0	0	0	0	0	0	0
4	38	0.0148	0.1121	0.0316	0.713	5.529	42.3	-148.6	57.1
4	39	0.0154	0.2658	0.0697	1.457	5.826	143.8	20.4	80.4
4	39	0.005	0.0044	0.0035	0.223	5.297	96.1	-101.2	63.7
0	0	0	0	0	0	0	0	0	0
5	1476	0.0125	0.0543	0.0174	0.446	5.773	43.5	179	74.5
5	1476	0.0114	0.0354	0.0123	0.34	5.74	36.8	-117.2	69.7
4	45	0.0136	0.0377	0.0111	0.258	5.238	50.9	-41.1	94.9
4	47	0.0142	0.1047	0.0295	0.66	5.965	151.6	173	133.1
4	47	0.0152	0.0822	0.0227	0.502	5.804	43.9	-159.4	133.8
0	0	0	0	0	0	0	0	0	0
4	47	0.012	0.0309	0.0103	0.273	5.803	55	135.7	140.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	49	0.0133	0.0325	0.0098	0.235	5.438	37.4	-36.6	100.8
5	1479	0.0107	0.0126	0.0047	0.14	5.487	70.5	-139.6	89
4	51	0.005	0.0089	0.0071	0.454	5.64	93.5	161.1	50.6
4	52	0.0106	0.1605	0.0461	1.087	5.839	31.2	57.2	78.1
4	52	0.0159	0.0356	0.0089	0.179	5.905	59.7	30.5	88.5
4	52	0.0138	0.0311	0.009	0.208	5.911	98.5	179.3	46.7
5	1480	0.015	0.0328	0.0096	0.226	5.964	69.7	105	51.2
5	1480	0.0127	0.161	0.0395	0.794	6.058	67.8	34.2	68.6
5	1480	0.0149	0.2936	0.0682	1.274	6.07	51.9	-140.4	50.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	1480	0.014	0.1132	0.0321	0.727	6.982	147.5	-96	161.4
0	0	0	0	0	0	0	0	0	0
6	1511	0.0116	0.0274	0.0094	0.258	6.472	115.4	-120.8	44.8
6	1511	0.0139	0.0772	0.0243	0.613	6.408	134.6	10.4	67.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
6	1511	0.0132	0.0193	0.0059	0.141	6.158	65	92.6	56.4
6	1511	0.0139	0.0314	0.009	0.206	6.396	50.3	18.2	80.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	1353	0.014	0.1006	0.0293	0.689	5.791	120.8	-124.6	103.3
3	1353	0.0124	0.095	0.0306	0.785	5.866	100.6	167.7	64
0	0	0	0	0	0	0	0	0	0
3	1353	0.0187	0.1323	0.0284	0.484	5.823	54.1	-70.3	7.5
0	0	0	0	0	0	0	0	0	0
3	1353	0.0131	0.0919	0.0267	0.621	6.281	52	23.8	66.3
0	0	0	0	0	0	0	0	0	0
4	55	0.0124	0.0919	0.0296	0.761	6.367	87.6	162.8	51.1
0	0	0	0	0	0	0	0	0	0
4	1420	0.014	0.0594	0.0176	0.416	6.313	33.1	123.9	44.9
6	58	0.0134	0.0318	0.0095	0.226	5.942	125.4	-150	62.7
3	59	0.0121	0.0295	0.0097	0.256	2.086	54.5	166.8	58.5
3	59	0.0153	0.094	0.0284	0.697	2	70.9	101.9	57.9
3	59	0.0106	0.0422	0.0139	0.37	1.978	78.8	91	73.2
3	59	0.0058	0.0054	0.0037	0.202	1.97	47.8	156.1	52.8
3	59	0.0119	0.1179	0.0399	1.078	1.927	55.1	114.5	76.1
0	0	0	0	0	0	0	0	0	0
3	61	0.0181	0.0607	0.0134	0.235	2.123	112.5	105.1	117.7
3	61	0.0091	0.0288	0.0118	0.392	2.125	79	-21.9	107.7
3	61	0.0143	0.0352	0.0098	0.219	2.071	62.2	18.1	153.2
3	61	0.0145	0.0721	0.0208	0.483	2.098	70.6	-151.4	55.5
3	61	0.0116	0.0988	0.0285	0.666	2.022	55.9	-43.2	100.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	61	0.0119	0.0662	0.0208	0.522	2.024	44.1	-57	97.5
3	61	0.0104	0.0968	0.0282	0.692	2.126	50.9	-61.5	94.5
3	61	0.0137	0.0576	0.0157	0.341	2.164	61.1	165	27.4
3	61	0.0175	0.2775	0.0643	1.196	2.49	96.5	113.3	116.1
4	1360	0.0105	0.0189	0.0072	0.219	2.342	158.6	51	67.2
0	0	0	0	0	0	0	0	0	0
4	1361	0.0109	0.0266	0.0097	0.283	3.074	106	-20.8	57.9
4	1361	0.0161	0.0625	0.0167	0.357	3.083	60.4	163.1	48.4
4	1361	0.012	0.014	0.0047	0.123	3.41	94	75.5	62.9
4	1362	0.0099	0.0169	0.0068	0.221	3.205	77.1	178.2	61.8
4	1362	0.0106	0.0323	0.0119	0.352	3.217	42.1	-118.1	53.2
4	1362	0.0101	0.0098	0.0039	0.123	3.217	77.9	-42.2	39.9
3	64	0.0099	0.0085	0.0034	0.11	2.174	68.8	-156.4	61.4
3	64	0.0061	0.0176	0.0114	0.586	2.084	44.1	-178.5	76.6
3	64	0.0119	0.023	0.0077	0.206	2.113	46.8	-132.5	131.1
3	64	0.0026	0.0013	0.0021	0.258	2.017	47.7	-149	97.3
3	64	0.0144	0.0344	0.0095	0.211	2.014	75.4	74.5	99.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	64	0.0089	0.0087	0.0039	0.14	2.132	68.9	-145.3	82.9
3	64	0.014	0.0245	0.007	0.158	2.325	52.8	-170.4	79.7
3	66	0.0095	0.0341	0.0122	0.352	1.953	105.4	22.7	144.1
3	66	0.0149	0.029	0.0105	0.318	2.194	27.4	-110.6	41.6
4	1363	0.0126	0.0431	0.0137	0.345	1.892	128.4	-125.8	111.7
3	67	0.013	0.0191	0.0059	0.144	2.272	46.4	106.3	126.2
0	0	0	0	0	0	0	0	0	0
3	68	0.0059	0.0038	0.0026	0.141	2.635	86.9	-156.2	42.5
3	69	0.0114	0.0144	0.0051	0.142	2.545	49.8	119.8	72.9
0	0	0	0	0	0	0	0	0	0
3	69	0.005	0.0068	0.0055	0.348	2.574	48.6	-168.2	40.1
0	0	0	0	0	0	0	0	0	0
4	1365	0.012	0.024	0.008	0.211	2.92	84.9	8.9	56.1
3	72	0.0101	0.016	0.0063	0.201	2.919	96	128.3	65.9
0	0	0	0	0	0	0	0	0	0
2	2	0.0135	0.0492	0.0162	0.428	3.464	99.5	168.3	66.3
2	2	0.0091	0.0459	0.02	0.693	2.979	70	2.7	41.8
0	0	0	0	0	0	0	0	0	0
3	73	0.0114	0.0181	0.0064	0.178	3.022	82.7	-42.6	80.7
0	0	0	0	0	0	0	0	0	0
3	1339	0.0129	0.0269	0.0083	0.205	3.07	145.9	55.1	72
0	0	0	0	0	0	0	0	0	0
3	1339	0.0122	0.0362	0.012	0.318	3.071	44.9	166.9	122.2
3	1339	0.0305	0.1495	0.0196	0.205	3.078	33.5	119.8	38.4
3	1339	0.0107	0.0119	0.0044	0.132	3.147	94.3	-53.7	40.3
3	1339	0.0124	0.0814	0.0251	0.62	3.031	8.4	139.3	135.8
3	1339	0.0129	0.0545	0.0183	0.498	3.192	72.6	-79.1	69.2
3	1339	0.0103	0.0227	0.0088	0.271	3.189	65.8	116.3	72.4
3	1339	0.011	0.0213	0.0077	0.222	3.199	39.9	-123.8	103.2
3	1339	0.005	0.0104	0.0083	0.53	3.284	23.3	-130	109.3
3	1339	0.013	0.0428	0.0135	0.338	3.315	47.9	127.3	56.6
3	1339	0.0172	0.0605	0.014	0.259	3.3	82.2	-90.9	86.3
3	1339	0.0062	0.0069	0.0044	0.226	3.575	91.8	-165.5	130.3
0	0	0	0	0	0	0	0	0	0
3	1339	0.0107	0.0303	0.0111	0.324	3.481	65.4	114.5	59.9
0	0	0	0	0	0	0	0	0	0
4	74	0.0196	0.0557	0.0114	0.185	2.821	59.5	82	91.9
3	77	0.0131	0.2515	0.0792	2.006	2.605	132.9	-68	118.3
4	1369	0.0184	0.0948	0.0206	0.356	2.198	66.7	177.7	47.4
4	1369	0.0139	0.1793	0.0507	1.152	2.277	61.4	55.8	113.9
3	78	0.0119	0.0313	0.0106	0.283	2.171	37.3	1.7	64.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	3	0.0143	0.1864	0.0523	1.169	1.872	63.7	111.8	66.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	79	0.0096	0.0191	0.008	0.265	2.086	30.9	75.5	41.3
0	0	0	0	0	0	0	0	0	0
3	79	0.0117	0.0235	0.0081	0.22	2.4	75.7	72	81.1
0	0	0	0	0	0	0	0	0	0
4	80	0.011	0.019	0.0069	0.201	1.907	103.1	-4.7	69.9
0	0	0	0	0	0	0	0	0	0
3	1340	0.0151	0.0704	0.0186	0.392	2.369	177.9	-126.2	114.6
0	0	0	0	0	0	0	0	0	0
4	1371	0.0091	0.1142	0.0433	1.325	1.816	58.9	-81.1	108.6
4	1371	0.0091	0.0434	0.0149	0.416	1.822	75.8	-110.9	66.6
0	0	0	0	0	0	0	0	0	0
4	1371	0.0117	0.0441	0.0143	0.376	1.795	63.3	60.8	77.9
4	1371	0.0148	0.1009	0.0305	0.741	1.841	132.7	-129.7	111.1
4	1371	0.0113	0.0284	0.0099	0.273	1.858	51.1	49.9	63.8
6	1488	0.0107	0.0238	0.0089	0.263	1.868	137.2	41.3	63.2
3	84	0.0161	0.0558	0.0139	0.274	1.918	71.1	-14.1	90.9
3	85	0.0142	0.0976	0.0303	0.749	2.128	54.1	-70.8	90.5
3	85	0.0099	0.0189	0.0078	0.257	2.105	52.2	-66.3	90.2
3	85	0.0081	0.0269	0.0101	0.311	2.088	45.1	-51.1	115.8
3	85	0.0125	0.0347	0.0111	0.283	2.383	65.6	-8.3	88.4
3	85	0.0198	0.2782	0.0665	1.308	2.116	34.2	-8.5	116.6
3	85	0.0196	0.0462	0.0094	0.153	2.128	81.1	63.5	119.7
3	85	0.014	0.2053	0.0585	1.345	2.122	38	-42	162.2
3	85	0.0121	0.174	0.0522	1.262	2.17	42.9	-21.9	93.9
0	0	0	0	0	0	0	0	0	0
3	85	0.015	0.0699	0.0206	0.484	2.601	50.4	-91.6	39.3
3	85	0.0116	0.0653	0.0205	0.514	2.607	50	-92.4	90.5
3	85	0.0162	0.0543	0.0134	0.262	2.866	48	-49.9	89.8
3	85	0.0388	0.2267	0.0234	0.192	3.079	82.2	57	111.5
3	90	0.0128	0.05	0.0158	0.401	2.604	72	85.8	95.3
3	90	0.01	0.0174	0.007	0.222	2.631	60.4	74.9	60.4
3	90	0.005	0.011	0.0088	0.56	2.66	48.6	57.7	149.2
3	90	0.0101	0.0137	0.0054	0.17	2.67	64.9	75.9	69.8
3	90	0.011	0.0763	0.0247	0.639	2.699	61.1	-57.8	65.7
3	90	0.013	0.0784	0.0224	0.511	2.697	43.5	-2.4	130.1
3	90	0.0122	0.0206	0.0067	0.175	2.756	63.1	63	69.5
3	90	0.0121	0.0724	0.023	0.583	2.854	61.6	52.1	73.9
3	90	0.0133	0.0557	0.0171	0.416	2.939	123.7	-135.8	118.1
0	0	0	0	0	0	0	0	0	0
3	91	0.0171	0.1216	0.0304	0.607	2.914	18.3	-110.7	84.2
3	92	0.011	0.0688	0.0215	0.549	2.743	91	78.2	71.6
3	93	0.0058	0.0079	0.0055	0.305	2.956	44.1	-152.8	73.4
0	0	0	0	0	0	0	0	0	0
3	95	0.0135	0.1283	0.0392	0.968	3.208	31.8	-80.5	70.8
3	100	0.0126	0.0589	0.0185	0.464	3.97	91.1	-45	61.6
0	0	0	0	0	0	0	0	0	0
3	100	0.0122	0.0336	0.0111	0.289	4.051	15.8	116.7	58.4
3	100	0.0175	0.0599	0.0165	0.378	3.971	153.8	-100.9	59.6
3	100	0.0158	0.142	0.0384	0.836	3.621	69.6	135.3	120.7
4	1378	0.0131	0.0132	0.004	0.098	3.943	78.8	23.3	21.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	104	0.013	0.1074	0.03	0.669	5.033	170	-141.3	159.2
3	104	0.0107	0.0206	0.0077	0.227	3.943	34.9	-7.2	73
3	104	0.0132	0.062	0.0187	0.45	3.84	166.9	120.7	132
3	104	0.0165	0.046	0.0112	0.216	3.71	117.5	114.3	81.7
0	0	0	0	0	0	0	0	0	0
3	104	0.0109	0.033	0.0121	0.352	3.943	43.5	149.3	121.4
0	0	0	0	0	0	0	0	0	0
3	104	0.0131	0.1534	0.0464	1.115	4.149	23.4	-14.4	160.4
3	105	0.016	0.0695	0.0187	0.404	4.092	39.8	-76.8	76.7
0	0	0	0	0	0	0	0	0	0
2	4	0.0259	0.0983	0.0152	0.186	4.385	70.2	-177.9	66.8
2	4	0.0128	0.0652	0.0185	0.423	4.433	53.4	20.7	54.5
0	0	0	0	0	0	0	0	0	0
3	111	0.0121	0.0249	0.0082	0.218	4.588	107.5	-116.7	55.3
3	111	0.0136	0.1868	0.0516	1.138	4.46	127.6	136.3	152.7
3	111	0.0144	0.1005	0.0283	0.635	4.472	102.7	50.5	78.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	111	0.0157	0.241	0.0659	1.44	4.537	65.1	52.2	45.1
0	0	0	0	0	0	0	0	0	0
3	111	0.0109	0.0138	0.005	0.147	4.686	90.1	-155.5	89.5
3	111	0.0153	0.0832	0.021	0.424	4.918	52.9	-33.1	76.5
3	111	0.0153	0.1085	0.0298	0.656	4.96	76	51.7	47.7
3	111	0.015	0.086	0.0241	0.541	5.119	103.3	-137.4	116.2
3	111	0.0128	0.0219	0.0068	0.17	4.961	52.1	-120.1	78.2
0	0	0	0	0	0	0	0	0	0
3	111	0.0139	0.0389	0.0112	0.258	5.306	79	13.7	76.6
3	111	0.0137	0.1231	0.0335	0.731	5.252	46.4	-93.1	57.6
3	111	0.0128	0.029	0.0091	0.226	5.392	80	35.7	70.4
3	111	0.0131	0.0523	0.0156	0.37	5.54	50	-14.5	43.6
4	114	0.0125	0.0821	0.0246	0.586	4.396	71.7	-152.6	49.4
0	0	0	0	0	0	0	0	0	0
3	1341	0.0143	0.0563	0.0158	0.351	4.02	111.1	-113.2	121.1
3	1341	0.0142	0.0324	0.0091	0.204	4.018	84.8	-142.6	118.5
3	120	0.0144	0.1129	0.0314	0.697	2.226	168.2	-148.6	109.5
3	121	0.005	0.0114	0.0091	0.582	2.458	132.4	-82.9	48.9
0	0	0	0	0	0	0	0	0	0
3	122	0.012	0.0318	0.0106	0.28	2.189	56	56	69.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	123	0.0141	0.1835	0.0529	1.216	2.139	55.2	-154.2	118.1
0	0	0	0	0	0	0	0	0	0
3	123	0.0132	0.1142	0.0364	0.929	2.092	42.1	-97.6	110.6
0	0	0	0	0	0	0	0	0	0
3	124	0.0129	0.0755	0.0216	0.501	2.572	108.6	-72.6	27
0	0	0	0	0	0	0	0	0	0
3	124	0.0152	0.0547	0.0143	0.3	2.538	91.5	55.2	64.4
3	130	0.0138	0.193	0.0557	1.282	2.778	46.5	157.4	43.1
3	130	0.0171	0.2134	0.0508	0.966	2.707	30.1	-15	104.6
3	130	0.0155	0.053	0.0137	0.28	2.777	43.4	-84.9	34.7
0	0	0	0	0	0	0	0	0	0
3	130	0.0198	0.0742	0.015	0.24	2.641	115.6	28.7	104.9
3	130	0.0118	0.033	0.0112	0.305	2.792	67.8	-78.2	68
0	0	0	0	0	0	0	0	0	0
3	131	0.005	0.0145	0.0116	0.738	2.755	74.4	-75.3	101.8
0	0	0	0	0	0	0	0	0	0
3	131	0.0129	0.0925	0.0286	0.706	2.784	170.6	74.4	92.1
0	0	0	0	0	0	0	0	0	0
3	135	0.0139	0.1083	0.0256	0.487	2.553	62.9	-4.9	66.7
3	135	0.0093	0.016	0.0068	0.233	2.598	80.6	168.1	122.3
0	0	0	0	0	0	0	0	0	0
3	137	0.0154	0.0776	0.0173	0.315	2.655	75.3	37.9	56.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	137	0.0105	0.1431	0.0436	1.087	2.636	48.8	96.6	106.9
3	137	0.0154	0.2431	0.0619	1.26	2.634	2.6	117.7	91.9
0	0	0	0	0	0	0	0	0	0
4	1387	0.005	0.0118	0.0094	0.599	2.745	128.3	-140.5	53.5
4	1387	0.0113	0.0163	0.0058	0.164	2.724	94.7	-105.5	52.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	138	0.0121	0.0749	0.0246	0.643	2.658	53.7	-93.7	98.5
3	138	0.0126	0.0226	0.0072	0.181	2.732	58	-99.7	76.8
3	141	0.005	0.0073	0.0058	0.371	2.869	23.8	144	134.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	148	0.013	0.0219	0.0068	0.166	3.033	74.9	127.1	47
3	149	0.0101	0.0269	0.0106	0.335	3.08	55.1	88	88.3
3	149	0.005	0.005	0.004	0.253	3.095	51.2	171.8	113.7
0	0	0	0	0	0	0	0	0	0
3	150	0.0126	0.0214	0.0068	0.172	3.077	26.5	-160.7	81.3
2	8	0.0119	0.0512	0.0162	0.418	2.343	73.3	-68.5	95.6
2	8	0.0124	0.0423	0.0137	0.353	2.333	75.4	155.4	50.9
2	8	0.0126	0.0806	0.0261	0.686	2.312	52.9	-99.3	65.3
2	8	0.0101	0.0477	0.019	0.601	2.325	59.3	165.9	51.6
2	8	0.0113	0.1222	0.0319	0.672	2.311	43.2	-127.9	129.9
2	8	0.005	0.0112	0.009	0.572	2.419	44.3	107.5	85.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	8	0.007	0.005	0.0029	0.13	2.573	81.2	121.8	36
3	159	0.0094	0.0403	0.0165	0.537	2.662	42.1	-9.5	68.3
3	159	0.0166	0.1199	0.0342	0.79	2.331	60.6	86.1	139.8
3	160	0.0122	0.0138	0.0045	0.118	2.606	52.2	-7.7	106.3
0	0	0	0	0	0	0	0	0	0
3	165	0.0165	0.0989	0.0253	0.519	2.861	63.6	123.6	17
4	1392	0.015	0.04	0.0107	0.228	2.847	151.3	72.5	43.5
3	168	0.0132	0.04	0.0126	0.315	2.875	75.2	-165	46.4
3	168	0.0155	0.0795	0.0208	0.436	2.895	40	-75.7	65.7
2	9	0.0156	0.0672	0.0172	0.35	2.841	102.6	83.3	84.9
2	9	0.0119	0.0364	0.0123	0.329	2.825	45.8	124.7	48.1
2	9	0.0125	0.1449	0.0399	0.884	2.906	49	-31.4	136.1
2	9	0.0141	0.0939	0.026	0.575	3.32	9.4	68.8	30.9
3	170	0.0122	0.0617	0.0188	0.459	3.119	33.5	101.6	49.1
3	1344	0.0226	0.0739	0.0131	0.184	3.087	65.7	27.8	153
0	0	0	0	0	0	0	0	0	0
3	1344	0.0124	0.0579	0.0176	0.427	2.873	53.5	145.2	60.8
3	1344	0.0139	0.0756	0.0221	0.514	2.888	49.9	107.8	72.7
5	1446	0.0124	0.0397	0.0128	0.329	2.641	46.6	76.5	97
0	0	0	0	0	0	0	0	0	0
5	175	0.0104	0.0447	0.0163	0.473	2.776	31.6	139.4	78.9
0	0	0	0	0	0	0	0	0	0
3	179	0.0111	0.0359	0.0131	0.379	3.05	79.4	-128.8	102.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	189	0.0148	0.0761	0.0212	0.478	3.689	68.3	-76	62.2
3	189	0.011	0.0886	0.0287	0.754	3.745	83.7	179.6	42.8
3	189	0.0115	0.0171	0.0059	0.165	3.751	86.2	95.3	64.3
0	0	0	0	0	0	0	0	0	0
3	189	0.0105	0.0365	0.0134	0.392	3.55	17.4	1.2	58.7
3	189	0.0143	0.0323	0.009	0.201	3.35	43.1	-117.3	92
4	1397	0.0134	0.0322	0.0096	0.227	3.245	96	-118.2	107.6
4	1397	0.0136	0.0649	0.0191	0.446	3.363	86.2	105.2	93.9
5	1448	0.0131	0.0221	0.0067	0.163	3.206	113.7	-30.6	98.7
5	1448	0.0092	0.0302	0.0105	0.297	3.196	90.8	-175.2	49.1
0	0	0	0	0	0	0	0	0	0
3	193	0.0083	0.0076	0.0036	0.139	3.749	80.1	-121.4	50.5
0	0	0	0	0	0	0	0	0	0
3	193	0.0113	0.0849	0.0299	0.84	3.989	144.6	-4.3	90.1
0	0	0	0	0	0	0	0	0	0
3	193	0.0133	0.0354	0.0107	0.257	3.98	20.3	29.9	101.5
3	193	0.0094	0.0092	0.0039	0.133	4.106	100.8	60.3	45.4
2	10	0.0151	0.1313	0.038	0.882	3.68	91.3	95.6	43.5
2	10	0.0133	0.089	0.0272	0.667	3.659	29.3	-45	69.2
2	10	0.0129	0.0385	0.0119	0.295	3.733	36.9	164	94
2	10	0.014	0.1024	0.0243	0.473	3.847	38.6	83.5	124.6
2	10	0.0174	0.163	0.041	0.829	3.755	79	94.5	64.8
2	10	0.0133	0.2166	0.0613	1.386	3.687	17.8	-90.5	38.7
3	1345	0.013	0.0359	0.0112	0.277	3.898	45.4	-123.9	65.5
2	11	0.0133	0.0225	0.0068	0.162	2.591	62.8	21.8	101.9
3	202	0.005	0.012	0.0096	0.612	2.975	19.8	84.3	120
3	202	0.013	0.0665	0.0213	0.545	3.067	72.3	17	87
3	202	0.0133	0.1045	0.0323	0.792	3.176	73.9	33.9	111
3	202	0.0107	0.0226	0.0085	0.253	3.248	80.9	-108.2	24
3	202	0.0124	0.0358	0.0115	0.296	3.306	41.7	66.6	11.1
3	203	0.0146	0.0621	0.0184	0.441	3.057	115.1	-131.3	131.3
0	0	0	0	0	0	0	0	0	0
3	206	0.0181	0.0497	0.011	0.194	3.455	107.7	24.6	62
3	206	0.0343	0.219	0.0255	0.237	3.418	40.3	97.1	44.4
0	0	0	0	0	0	0	0	0	0
3	207	0.0104	0.0408	0.015	0.442	3.557	66	-113	40.7
4	213	0.0089	0.0396	0.013	0.354	3.518	127	20.4	129.1
4	213	0.0132	0.0972	0.0281	0.648	3.522	126.3	-72.9	97.1
4	213	0.0131	0.05	0.0146	0.339	3.523	125.1	-73.8	107.2
3	220	0.0247	0.2036	0.0363	0.523	3.409	120.1	-111	91.4
3	222	0.0127	0.0507	0.013	0.268	3.075	153.3	165.9	29.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	1404	0.0115	0.0656	0.0225	0.617	3.184	55.5	162.3	69.1
0	0	0	0	0	0	0	0	0	0
3	228	0.0091	0.1085	0.036	0.974	3.432	90	-31.8	134.3
4	1405	0.0069	0.0056	0.0032	0.149	3.293	80.2	-135.5	62.5
4	1405	0.0108	0.0241	0.012	0.495	3.265	93.1	40.4	97.6
2	14	0.0151	0.0497	0.0147	0.411	3.685	56	141.5	43.2
3	231	0.0181	0.0909	0.0201	0.352	4.217	65.2	134.2	73.9
3	231	0.0178	0.1089	0.0244	0.435	3.64	0.5	16.6	57.1
3	231	0.0148	0.1832	0.0493	1.058	4.026	141.4	-75.9	142.4
4	1406	0.0132	0.0661	0.0199	0.476	3.767	42.2	-1	55.1
4	1406	0.0119	0.0422	0.0133	0.336	3.769	74.9	95	51.5
4	232	0.0124	0.0283	0.0091	0.234	3.921	128.3	101.2	56.1
5	1454	0.0118	0.0854	0.0264	0.657	3.691	90.2	-155.2	44.5
3	1349	0.0135	0.0487	0.016	0.422	3.629	157.9	161.3	90.2
3	239	0.0129	0.0379	0.0117	0.289	3.277	11.5	-73.9	78.6
0	0	0	0	0	0	0	0	0	0
3	239	0.0049	0.0036	0.0029	0.191	3.422	84.6	44.8	72.2
3	239	0.0125	0.1063	0.0329	0.841	3.462	53.1	-107.7	49.6
0	0	0	0	0	0	0	0	0	0
3	241	0.009	0.0121	0.0054	0.189	3.03	68.8	-130.3	100.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	247	0.0148	0.071	0.0212	0.506	3.851	42.8	90.6	40
3	250	0.0104	0.0188	0.0072	0.22	3.845	61.5	12.5	98.6
