order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
2	4	0.0154	0.5781	0.0542	0.551	2.165	111.4	36.7	146.7
2	4	0.0223	0.9859	0.1982	3.414	2.234	59.6	-12.9	114.8
2	4	0.0127	0.0359	0.0113	0.281	2.337	103	128.4	42.1
2	4	0.0409	1.3252	0.1536	1.5	2.371	67.5	17.1	100.4
2	4	0.0187	0.0784	0.0168	0.286	2.441	56.9	-72	86.6
2	4	0.0113	0.0247	0.0088	0.248	2.511	39.9	-51.6	96.3
2	4	0.0155	0.3652	0.0936	1.939	2.582	64.4	16.6	85.5
2	4	0.0154	0.2766	0.0731	1.538	2.629	53.7	-14	98.7
2	4	0.0265	0.3802	0.069	1.064	2.767	58.6	6.3	81.2
2	4	0.0118	0.0916	0.0285	0.719	2.885	45.8	-128.4	80.6
2	4	0.0115	0.113	0.0328	0.78	3.153	65	-1.5	78.3
2	4	0.018	0.2724	0.0643	1.228	3.359	103	166.5	99.9
0	0	0	0	0	0	0	0	0	0
2	4	0.0151	0.1575	0.0416	0.876	3.891	112.9	18.4	107.5
2	4	0.0128	0.0273	0.0085	0.212	3.402	90.2	36.1	69.4
2	4	0.0121	0.13	0.0362	0.836	3.369	55.6	15.4	60.4
2	4	0.0143	0.6417	0.1454	2.721	3.325	61.9	20.1	54.2
2	4	0.0151	0.2843	0.0714	1.44	3.416	81.4	-51.4	96.2
2	4	0.0106	0.0325	0.0109	0.293	3.53	75.3	-29.4	92.9
2	4	0.0116	0.1731	0.049	1.118	3.597	50.8	-75.3	76.9
2	4	0.0165	0.3212	0.086	1.853	3.581	87.3	145.5	68.1
2	4	0.0138	0.1702	0.0468	1.03	3.847	50.4	-77.8	76.4
2	4	0.0131	0.1633	0.0453	1.003	3.847	40	-5.6	48.6
2	4	0.0153	0.1296	0.0346	0.75	4.031	45.6	-53.9	61.5
2	4	0.0157	0.0444	0.0129	0.376	4.025	38.7	157.5	26
2	4	0.0155	0.1143	0.0294	0.604	4.357	29.7	-60.5	84
2	4	0.0167	0.09	0.0216	0.411	4.44	88.8	-60.6	102.6
2	4	0.0134	0.4783	0.1265	2.675	4.465	52.9	-157.3	51.3
3	1341	0.0126	0.1057	0.0334	0.842	4.106	108.5	20.2	97.3
3	1341	0.0136	0.0675	0.02	0.47	4.27	126.3	-49.5	74.6
3	1341	0.0156	0.1188	0.0327	0.717	4.253	76.3	-102	34.3
3	1341	0.0195	0.1353	0.0277	0.451	4.173	92	-118.8	106.9
0	0	0	0	0	0	0	0	0	0
2	5	0.0129	0.11	0.0294	0.647	2.183	45.3	-77.7	68.6
2	5	0.0108	0.0824	0.0256	0.639	2.19	45.3	-98.6	137
0	0	0	0	0	0	0	0	0	0
2	5	0.0202	0.5175	0.1009	1.567	2.183	41.6	159.2	78.7
2	5	0.0164	0.2189	0.0441	0.727	2.23	59.5	-109.2	79.5
2	5	0.0118	0.1418	0.0338	0.66	2.234	67.3	11.2	103.1
2	5	0.0158	0.2087	0.0612	1.453	2.271	129.5	3.3	128.5
2	5	0.0151	0.5622	0.0967	1.417	2.408	101.3	-8.3	80.4
0	0	0	0	0	0	0	0	0	0
2	5	0.0133	0.0655	0.0187	0.427	2.39	51	-67.6	108.3
2	5	0.0092	0.0109	0.0047	0.163	2.519	63.8	-145.9	57.9
2	5	0.0109	0.0861	0.0271	0.688	2.535	65.2	4.6	76.6
2	5	0.0093	0.0461	0.0166	0.481	2.535	46.3	-82.3	97.2
2	5	0.0135	0.3833	0.1151	2.757	2.838	113.8	-170.3	100.6
2	5	0.0136	0.1422	0.0419	0.98	2.833	132.6	151.6	138
2	5	0.0119	0.0425	0.0141	0.375	2.995	74.5	30.8	47.7
2	5	0.0107	0.0365	0.0124	0.339	3.027	83.1	-151.4	57.7
2	5	0.013	0.0541	0.0168	0.416	3.031	59.5	-47.2	21
2	6	0.0119	0.172	0.0446	0.948	2.514	52.1	117.4	112.2
2	6	0.0121	0.0408	0.0135	0.361	2.52	35.5	165.3	106.4
2	6	0.0151	0.58	0.1207	2.025	2.628	61.2	97	91.3
2	6	0.0132	0.1132	0.0311	0.696	2.637	59	-140.6	81.1
2	6	0.0074	0.0075	0.0041	0.175	2.648	67.9	-122.8	71.2
2	6	0.0187	0.0402	0.0086	0.147	2.67	71.6	77.8	54.7
2	6	0.0229	0.3535	0.0693	1.116	2.74	71.7	-127.5	104.3
2	6	0.0128	0.0739	0.0249	0.675	2.736	95.5	48.3	56.8
2	6	0.005	0.0116	0.0093	0.591	2.753	136.6	-123.3	124.4
0	0	0	0	0	0	0	0	0	0
2	6	0.0121	0.2096	0.0563	1.239	2.789	48.9	-160.4	90.8
2	6	0.0136	0.0909	0.0297	0.78	2.858	42.1	106.4	52.6
2	6	0.0144	0.1972	0.0562	1.282	2.908	73.6	-126.7	82.5
2	6	0.0145	0.0765	0.0231	0.559	2.971	113.9	-3.4	36.8
2	6	0.0115	0.097	0.0305	0.767	2.97	91.3	139.7	112.7
2	6	0.0125	0.0924	0.0286	0.716	2.976	41.6	-178.2	97.6
2	6	0.005	0.0127	0.0102	0.649	3.139	127.7	-40.6	98.3
2	6	0.0099	0.0143	0.0058	0.185	3.239	64	-84.2	59.6
0	0	0	0	0	0	0	0	0	0
2	6	0.0104	0.0257	0.0091	0.256	3.454	57.9	153.7	72.8
2	6	0.0132	0.0519	0.0157	0.379	3.477	50.6	-82	69.3
2	6	0.011	0.0596	0.0189	0.48	3.511	65.2	124.8	54.6
3	1343	0.0086	0.0631	0.0211	0.573	2.455	81	11.6	76.9
2	9	0.0185	0.0901	0.0195	0.335	2.607	43	-18.4	113.1
2	9	0.0211	1.2062	0.2561	4.448	2.657	45.5	8	72.4
2	9	0.0133	0.2435	0.0549	1.006	2.669	67.5	23.5	133.9
2	9	0.0104	0.0353	0.0134	0.402	2.7	48.9	106.3	38.4
0	0	0	0	0	0	0	0	0	0
2	9	0.0123	0.0649	0.0198	0.487	2.704	57.5	131.4	75.1
2	9	0.0127	0.0965	0.0267	0.594	2.695	30.4	93.3	113
2	9	0.0162	0.2621	0.0575	1.008	2.719	51.6	24.9	54.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	9	0.0138	0.1674	0.0479	1.118	2.795	66.2	146.8	66.4
2	9	0.0083	0.0229	0.0098	0.339	2.775	69.2	-24.5	92.7
2	9	0.0129	0.0975	0.0302	0.749	2.871	20.9	-33.5	19.3
3	1344	0.0107	0.1013	0.0308	0.765	2.841	24.4	2.1	99.1
3	1344	0.0157	0.0888	0.0226	0.458	2.74	29.3	-50.7	87.6
3	1344	0.0127	0.1007	0.0309	0.755	2.496	55.7	-116.2	90
4	1393	0.0078	0.0273	0.01	0.302	2.435	114.7	22.1	112.6
4	1393	0.0118	0.1455	0.0492	1.325	2.408	66.8	48	63
5	1447	0.0118	0.0239	0.0081	0.219	2.337	111.7	-100.7	117.9
5	1447	0.0099	0.0412	0.0143	0.405	2.3	37.3	3.3	80.2
0	0	0	0	0	0	0	0	0	0
2	10	0.0207	0.4017	0.0894	1.651	2.879	39.8	-57.5	83.4
2	10	0.0066	0.0016	0.0009	0.046	2.966	117.2	-159	139.2
2	10	0.0165	0.1823	0.0418	0.765	3.137	98.1	-52	160.2
2	10	0.0143	0.142	0.0321	0.597	3.031	41.5	-93.8	40.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.0127	0.0278	0.0087	0.218	3.105	83.4	143.3	48.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	10	0.015	0.0885	0.0232	0.483	3.2	59.5	-40.8	77.3
2	10	0.0144	0.4705	0.1033	1.868	3.349	61.8	-163.3	42.6
2	10	0.0094	0.0497	0.0166	0.457	3.484	86.6	-174.9	72.3
2	10	0.0119	0.1134	0.0325	0.755	3.463	32.5	-74.3	92.8
0	0	0	0	0	0	0	0	0	0
2	10	0.0163	0.3016	0.0806	1.733	3.589	64.3	155.2	49.7
2	11	0.0118	0.0429	0.0136	0.346	2.504	62.7	18.6	97.6
3	1346	0.005	0.0081	0.0065	0.414	2.683	32.3	144.9	103.8
4	1400	0.0146	0.0514	0.014	0.305	2.725	142.6	44.7	81
2	12	0.0098	0.012	0.0049	0.16	2.891	49.7	-23.8	115
2	12	0.0141	0.032	0.0091	0.206	2.913	55	-29.8	116.5
2	12	0.0117	0.0676	0.0218	0.569	2.918	41.2	58.9	56.4
2	12	0.0135	0.1541	0.04	0.838	2.959	49.9	23.5	124.4
2	12	0.0106	0.1187	0.0372	0.938	2.999	70.1	-78.3	61.8
2	12	0.0164	0.3039	0.0807	1.715	2.986	76.4	72	94
2	12	0.0157	0.1901	0.0508	1.086	3.011	39	-33.9	97.2
2	12	0.0127	0.0372	0.0117	0.293	2.994	9.9	2.6	98.9
2	12	0.0121	0.1109	0.0346	0.867	3.082	40.6	-9	110.5
2	12	0.0141	0.2305	0.0665	1.538	3.101	43.1	48.1	104.5
2	12	0.0139	0.1749	0.0496	1.123	3.114	60.5	70.7	59.1
2	12	0.0116	0.0353	0.0121	0.333	3.271	42.9	-58.1	59.2
3	1347	0.0173	0.0763	0.0176	0.324	3.611	86	34.7	80.2
3	1347	0.014	0.0614	0.0175	0.399	3.663	112.3	178.3	97.9
3	1347	0.0153	0.1107	0.03	0.652	3.687	62.8	-78.6	37.4
3	1347	0.0162	0.0659	0.0163	0.322	3.694	42.9	21	106.2
3	1347	0.0149	0.136	0.0347	0.709	3.661	111.5	-177.2	135.8
3	1347	0.0131	0.089	0.0256	0.593	3.633	37.7	-122.5	96
3	1347	0.0145	0.0571	0.016	0.355	3.837	55.3	6.5	71.4
2	13	0.0173	0.0935	0.0216	0.396	2.94	89.5	24.6	82.1
2	14	0.0107	0.0305	0.0105	0.291	2.942	70.2	168.7	107.8
2	14	0.0114	0.0169	0.0059	0.164	2.945	73.9	46.3	128.3
2	14	0.0117	0.1422	0.0293	0.508	3.072	49.9	157.4	74.4
2	14	0.0117	0.5307	0.0975	1.542	3.097	73	-0.7	19.9
0	0	0	0	0	0	0	0	0	0
2	14	0.0113	0.2741	0.0447	0.633	3.098	33.5	70.3	102.7
2	14	0.0125	0.1481	0.0303	0.508	3.175	63.1	-51.4	55.9
2	14	0.0177	0.1816	0.0459	0.95	3.157	30.8	146.7	103.7
2	14	0.0126	0.1492	0.0451	1.099	3.246	67.6	-172.3	54.1
2	14	0.0137	0.0896	0.025	0.565	3.293	80.2	-7.3	69.5
2	14	0.0154	0.0329	0.0086	0.177	3.397	96.6	-20.7	93.4
2	14	0.0129	0.3916	0.1034	2.192	3.331	37	96.4	76.1
2	14	0.012	0.0848	0.0266	0.673	3.506	58.8	-152.4	60.8
0	0	0	0	0	0	0	0	0	0
2	14	0.0126	0.2598	0.0695	1.494	3.543	72.2	17.1	72
3	1349	0.0116	0.1351	0.0428	1.092	3.811	81	-55.4	69.7
3	1349	0.0135	0.1254	0.0386	0.948	3.61	166.5	160.6	77.5
4	1407	0.0128	0.0664	0.0205	0.506	4.193	60.4	138.7	63.5
4	1407	0.0123	0.0607	0.0198	0.514	4.215	70.5	30.4	68.9
0	0	0	0	0	0	0	0	0	0
2	15	0.0309	0.3415	0.0489	0.564	3.002	7.5	-136.4	96.8
2	15	0.0108	0.0158	0.0058	0.173	3.028	89.7	-89.6	20.5
2	16	0.0331	0.6608	0.0966	1.151	3.187	58.2	-45	60.6
2	16	0.0115	0.0312	0.0108	0.298	3.213	48.9	-17.3	34.7
2	16	0.011	0.1461	0.0367	0.757	3.21	81.8	-25.1	148.1
2	16	0.0105	0.083	0.0273	0.731	3.264	65.1	-52.3	88
2	16	0.0141	0.1332	0.0265	0.464	3.373	24.5	-29	59.4
2	16	0.0143	0.2094	0.0604	1.398	3.525	78.1	84.5	95.9
2	16	0.0112	0.0912	0.0257	0.6	3.461	33.6	10.3	100.2
0	0	0	0	0	0	0	0	0	0
